symbol,return_pct,share_of_return_pct,trades,wins,losses,gross_profit,gross_loss
NEARUSDT,31.612460226274273,54.4785197264725,8050,3884,4166,3.730712457643449e+31,1.6749168509478324e+31
SOLUSDT,26.414924484241226,45.5214802735275,6983,3357,3626,6.418853757079347e+30,4.5427465267468906e+30
