mode,reverse_mult,total_return_pct,capital_growth,final_equity,profit_factor,win_rate,max_drawdown_pct,positive_months,negative_months,avg_monthly_return,median_monthly_return,worst_month,worst_month_return_pct,best_month,best_month_return_pct,total_trades,reverse_trades
reverse_mult_1.00x,1.0,2724.7394057999995,3848367764.4781046,3848367765478.1045,2.4560743019019453,32.32163080407701,11.895260330992,65,1,41.283930390909084,44.38211159999999,2022-10,-1.3689897999999978,2023-12,97.20222740000001,8830,1557
reverse_mult_1.25x,1.25,2785.3621141999993,5818336867.962438,5818336868962.4375,2.4336510800031315,32.32163080407701,11.598080111421691,65,1,42.20245627575756,45.59439945000001,2022-10,-1.7968038999999991,2023-12,101.62029595000001,8830,1557
reverse_mult_1.50x,1.5,2845.9848226000004,8735527449.103756,8735527450103.756,2.4132968509054273,32.32163080407701,11.302079068567915,65,1,43.12098216060607,46.23312049999999,2022-10,-2.2246180000000004,2023-12,106.03836450000004,8830,1557
reverse_mult_1.75x,1.75,2906.607531,13027317078.815481,13027317079815.48,2.3947414386500903,32.32163080407701,11.063349332384655,65,1,44.03950804545455,46.92380675000001,2022-10,-2.6524321000000017,2023-12,110.45643305000002,8830,1557
reverse_mult_2.00x,2.0,2967.2302393999994,19301747647.307198,19301747648307.2,2.377760125754889,32.32163080407701,11.620528260154767,65,1,44.958033930303024,47.588510400000025,2022-10,-3.080246199999992,2023-12,114.87450160000003,8830,1557
