mode,reverse_mult,total_return_pct,capital_growth,final_equity,profit_factor,win_rate,max_drawdown_pct,positive_months,negative_months,avg_monthly_return,median_monthly_return,worst_month,worst_month_return_pct,best_month,best_month_return_pct,total_trades,reverse_trades
reverse_mult_1.00x,1.0,2544.2940775999987,1025969337.970699,1025969338970.699,2.3630348064069677,31.653454133635332,12.737370497277839,65,1,38.54991026666664,40.01447919999998,2022-10,-0.6449783999999958,2023-12,98.79447800000001,8830,1557
reverse_mult_1.25x,1.25,2599.858652200001,1503987469.9584913,1503987470958.4912,2.341257623017628,31.653454133635332,12.881618971958922,65,1,39.391797760606075,40.967057149999995,2022-10,-1.1419960500000048,2023-12,102.57964615000002,8830,1557
reverse_mult_1.50x,1.5,2655.4232268,2189332905.126896,2189332906126.896,2.321507072147204,31.653454133635332,13.595909243809343,65,1,40.233685254545456,42.742982099999985,2022-10,-1.6390137000000027,2023-12,106.36481429999995,8830,1557
reverse_mult_1.75x,1.75,2710.9878014000005,3165527766.4852023,3165527767485.202,2.303516734409451,31.653454133635332,14.303518145776486,65,1,41.07557274848486,43.50937529999999,2022-10,-2.1360313500000006,2023-12,110.14998244999998,8830,1557
reverse_mult_2.00x,2.0,2766.5523760000015,4547245304.00364,4547245305003.641,2.2870652595962384,31.653454133635332,15.004538986342416,65,1,41.91746024242426,43.06964640000002,2022-10,-2.6330489999999873,2023-12,113.93515059999997,8830,1557
