month,events,wr,start_eq,end_eq,profit,return_pct,maxdd_pct,pf,reverse_events
2021-01,97,0.31958762886597936,1000.0,1732.7273289999998,732.7273289999998,73.27273289999998,2.657278796243021,4.977128812459843,17
2021-02,84,0.30952380952380953,1732.7273289999998,2759.6346089502404,1026.9072799502405,59.265371,3.2269331267366654,3.9709838980849375,13
2021-03,94,0.3617021276595745,2759.6346089502404,4638.884305404623,1879.2496964543825,68.09777245000002,1.6661312409814197,3.719400000789091,13
2021-04,82,0.2682926829268293,4638.884305404623,5914.871413739369,1275.9871083347462,27.506336099999995,11.598080111421691,2.071900490504221,18
2021-05,78,0.28205128205128205,5914.871413739369,7805.22312344851,1890.3517097091408,31.959303549999984,7.947942968224574,2.2884271953278743,11
2021-06,102,0.35294117647058826,7805.223123448509,11700.937092420225,3895.713968971716,49.91162849999999,6.094182552407458,2.599639267635259,16
2021-07,170,0.27058823529411763,11700.937092420225,15359.681400760332,3658.7443083401067,31.268814450000004,8.505973224776913,1.6901535436533974,22
2021-08,104,0.28846153846153844,15359.681400760332,17504.92326709452,2145.2418663341887,13.966708100000002,9.762312272000074,1.36361216200138,18
2021-09,105,0.45714285714285713,17504.92326709452,33080.76847266591,15575.845205571393,88.97979709999998,2.1716723785829966,4.791390903387693,12
2021-10,126,0.2698412698412698,33080.76847266591,37718.65674994987,4637.888277283957,14.019892800000001,9.949060161419467,1.3423664531135926,28
2021-11,128,0.375,37718.65674994987,57932.46273003267,20213.805980082798,53.59100169999999,3.212782821085659,2.9723910857553815,23
2021-12,139,0.3381294964028777,57932.46273003267,87673.89950187241,29741.43677183974,51.3381192,3.448584546317479,2.3270735817462342,25
2022-01,115,0.34782608695652173,87673.89950187241,140407.4471657674,52733.54766389499,60.14737335,4.9175171807837135,2.6731848947573473,17
2022-02,114,0.38596491228070173,140407.4471657674,254190.17695270185,113782.72978693445,81.03753190000003,3.153837476764924,4.453379191520432,15
2022-03,169,0.3431952662721893,254190.17695270185,444869.0911208503,190678.91416814845,75.01427335,5.744033879174242,2.6919612764087337,28
2022-04,161,0.36645962732919257,444869.0911208503,714088.4263302506,269219.3352094003,60.51652959999998,3.9042451878547713,2.788994767859858,30
2022-05,109,0.3486238532110092,714088.4263302506,1082418.2575824815,368329.8312522309,51.580423050000014,5.88844734794941,2.5949480601523693,18
2022-06,110,0.4090909090909091,1082418.2575824815,1585879.532012337,503461.2744298554,46.51263694999999,5.444723398135996,2.6429882841848493,14
2022-07,158,0.3291139240506329,1585879.532012337,2547032.1602638606,961152.6282515237,60.60691299999996,6.815140098518935,2.4461564681744083,28
2022-08,187,0.33689839572192515,2547032.1602638606,4380621.740203023,1833589.5799391624,71.98925905000002,4.01561691263065,2.9166664787432013,36
2022-09,128,0.390625,4380621.740203023,6222549.64623501,1841927.9060319867,42.04717995,5.68851414687795,2.6504623389506596,17
2022-10,126,0.21428571428571427,6222549.64623501,6110742.631512023,-111807.01472298708,-1.7968038999999991,7.453999347126948,0.9353045444017588,28
2022-11,130,0.3230769230769231,6110742.631512023,9434371.78457395,3323629.1530619273,54.38993839999999,8.392844637937037,3.089313104311282,25
2022-12,135,0.34814814814814815,9434371.78457395,13808989.47671827,4374617.692144319,46.36893470000001,2.2883273591876723,2.9965316817125998,20
2023-01,169,0.28402366863905326,13808989.47671827,21641587.074448127,7832597.597729858,56.721004900000025,4.631488629410053,2.4725904408355306,28
2023-02,152,0.3223684210526316,21641587.074448127,27132681.67465335,5491094.600205224,25.372883149999993,7.7866898436603025,1.8033103628083924,25
2023-03,172,0.32558139534883723,27132681.67465335,39555432.31833634,12422750.643682986,45.785192900000006,4.242444628940787,2.346006993882845,33
2023-04,149,0.3288590604026846,39555432.31833634,53301569.312791064,13746136.994454727,34.75157820000001,3.779477078156231,2.1709962502932156,30
2023-05,115,0.3565217391304348,53301569.312791064,70623204.34551539,17321635.03272432,32.497420350000006,4.3030327708232345,2.3982037115970507,22
2023-06,124,0.3064516129032258,70623204.34551539,89052069.41421601,18428865.068700626,26.094631699999994,4.612355394901438,1.9153727701343164,26
2023-07,145,0.33793103448275863,89052069.41421601,156591841.1062882,67539771.69207218,75.84301200000002,3.493101653746829,3.7127650733263597,21
2023-08,117,0.3076923076923077,156591841.1062882,193368560.7288457,36776719.62255749,23.485718899999995,5.06115152901451,1.9761114640699065,23
2023-09,118,0.2542372881355932,193368560.7288457,223328565.46342894,29960004.73458326,15.493731050000005,3.857159965650165,1.6699368090614883,23
2023-10,161,0.33540372670807456,223328565.46342894,387191838.5839356,163863273.12050667,73.37318125000003,3.845563939198273,3.0862026972768843,24
2023-11,101,0.36633663366336633,387191838.5839356,497566229.3585651,110374390.77462947,28.506383599999996,3.7025045867342623,2.33975130713409,19
2023-12,136,0.4117647058823529,497566229.35856515,1003194504.1799948,505628274.82142967,101.62029595000001,3.634808080147292,4.395446090884623,23
