year,return_pct,maxdd_pct,trades,pf,win_rate,reverse_events
2021,528.9709517,14.303518145776486,1309,2.5477353815622164,31.092436974789916,216
2022,627.503893,8.642650926200874,1642,2.559710467677146,33.86114494518879,276
2023,557.4398693,8.990669207814236,1659,2.47424246481661,32.48945147679325,297
2024,458.8532220500001,10.438366720785373,1724,2.186938626741753,31.264501160092806,309
2025,416.8268892500001,9.193228458447084,1764,2.0803617344439367,30.66893424036281,317
2026,121.39297610000003,7.641664247514923,732,1.717505493513666,29.508196721311474,142
