year,return_pct,maxdd_pct,trades,pf,win_rate,reverse_events
2021,536.0145598,15.004538986342416,1309,2.530441837810111,31.092436974789916,216
2022,636.9419482000001,9.08315562640243,1642,2.53020301365295,33.86114494518879,276
2023,569.8079394,9.43991953357948,1659,2.4497386991047416,32.48945147679325,297
2024,468.07713900000005,11.381418482815652,1724,2.169210766082215,31.264501160092806,309
2025,431.07315719999997,9.557047832379615,1764,2.0813971948749264,30.66893424036281,317
2026,124.63763239999997,8.10792641704551,732,1.7109617675182285,29.508196721311474,142
