year,return_pct,maxdd_pct,trades,pf,win_rate,reverse_events
2021,507.8401274000001,12.737370497277839,1309,2.6108042418108,31.092436974789916,216
2022,599.1897273999999,7.566134670663516,1642,2.664817989615392,33.86114494518879,276
2023,520.3356589999999,8.703374418405616,1659,2.5615159254464053,32.48945147679325,297
2024,431.18147120000003,7.593568711598454,1724,2.251318673800244,31.264501160092806,309
2025,374.0880854,8.091370067775669,1764,2.077704555561326,30.66893424036281,317
2026,111.65900719999999,6.238179466337899,732,1.7438856545591868,29.508196721311474,142
