year,return_pct,maxdd_pct,trades,pf,win_rate,reverse_events
2021,555.3881702,11.895260330992,1309,2.7642073100625892,32.391138273491215,216
2022,637.7789592,7.719481735236183,1642,2.7717290029333,34.40925700365408,276
2023,526.4674334,7.339228432722318,1659,2.5798042792398586,32.730560578661844,297
2024,458.69948000000005,6.9458433906367,1724,2.322837110440782,32.01856148491879,309
2025,413.396445,6.752899618431515,1764,2.1831839592351328,31.462585034013607,317
2026,133.008918,6.124538177945517,732,1.8879873119619588,29.78142076502732,142
