year,return_pct,maxdd_pct,trades,pf,win_rate,reverse_events
2021,578.7560931500001,11.063349332384655,1309,2.6939823948758126,32.391138273491215,216
2022,669.6846497999999,9.730160118046046,1642,2.6654804880197123,34.40925700365408,276
2023,565.70023505,8.681612665536244,1659,2.4966598303517427,32.730560578661844,297
2024,488.1165841999999,9.562901136944777,1724,2.2540146417338955,32.01856148491879,309
2025,461.02673325,7.049310680698106,1764,2.1878198926680628,31.462585034013607,317
2026,143.32323555,7.491555168923247,732,1.8514081905604627,29.78142076502732,142
