year,return_pct,maxdd_pct,trades,pf,win_rate,reverse_events
2021,521.9273436,13.595909243809343,1309,2.566727754430924,31.092436974789916,216
2022,618.0658378,8.223779970250877,1642,2.591745260310417,33.86114494518879,276
2023,545.0717992,8.54141888204897,1659,2.500838838849445,32.48945147679325,297
2024,449.6293051,9.492715025902102,1724,2.2063521516061493,31.264501160092806,309
2025,402.58062129999996,8.825650711255467,1764,2.07938429186549,30.66893424036281,317
2026,118.14831979999998,7.174620345403117,732,1.7250525480998224,29.508196721311474,142
