year,return_pct,maxdd_pct,trades,pf,win_rate,reverse_events
2021,586.5454008,11.620528260154767,1309,2.674455096916284,32.391138273491215,216
2022,680.3198799999998,10.394138984968396,1642,2.6356671355573127,34.40925700365408,276
2023,578.7778356000001,9.129074076474218,1659,2.4732663636209544,32.730560578661844,297
2024,497.9222855999999,10.427822078488509,1724,2.2350878965342513,32.01856148491879,309
2025,476.90349599999996,7.412098906898478,1764,2.1894240262560363,31.462585034013607,317
2026,146.7613414,7.94482347965777,732,1.8420906267476487,29.78142076502732,142
