metric,value
total_trades,15033
win_rate_pct,48.17
profit_factor,2.1268
max_dd_pct,4.6163
recovery_factor,605.9744
total_return_pct,2797.36
final_equity,28973.65
avg_trade_pct,0.1861
trades_per_day,6.86
gross_profit,52799.61
gross_loss,24825.43
long_pnl,0.0
short_pnl,27974.19
reverse_trades,2585
reverse_pct,17.2
add_trades,4839
add_pct,32.19
best_trade,219.1
worst_trade,-43.73
max_consecutive_losses,11
