month,end_eq
2021-01,2914.349091
2021-02,2473.142898
2021-03,2000.472508
2021-04,2697.192456
2021-05,1538.153843
2021-06,2095.548965
2021-07,1802.260422
2021-08,2409.468453
2021-09,2155.825831
2021-10,1758.803832
2021-11,1857.961249
2021-12,1190.262158
2022-01,2001.075833
2022-02,1341.245297
2022-03,1312.559966
2022-04,1579.154640
2022-05,1718.648974
2022-06,2361.144005
2022-07,1079.704205
2022-08,1048.247601
2022-09,1197.593414
2022-10,987.284704
2022-11,1821.377319
2022-12,1204.855624
2023-01,1604.648846
2023-02,1150.768717
2023-03,1183.209122
2023-04,965.647281
2023-05,995.014158
2023-06,1689.008787
2023-07,1276.572695
2023-08,1086.050110
2023-09,1057.054013
2023-10,1236.454953
2023-11,1976.104673
2023-12,2292.660162
2024-01,2377.851801
2024-02,1348.033031
2024-03,2220.750411
2024-04,2020.719736
2024-05,1260.656812
2024-06,1168.562335
2024-07,1261.304287
2024-08,1819.934128
2024-09,1409.055010
2024-10,1093.599341
2024-11,1179.597292
2024-12,1691.223555
2025-01,1663.260293
2025-02,1497.894899
2025-03,1224.553176
2025-04,1509.242413
2025-05,1245.663264
2025-06,1041.996290
2025-07,1084.107317
2025-08,1297.669640
2025-09,988.382310
2025-10,1484.419811
2025-11,1803.237266
2025-12,995.048379
2026-01,1034.740812
2026-02,1469.373702
2026-03,1065.214641
2026-04,1009.335918
2026-05,1139.102136
2026-06,1428.119811
